item;listDelta
1;10;5;6;5;10;6;32;7;8;2;9;6;9;9;1;1;5;22;6;24;3;5;2;6;3;2;1;1;6;4;5;29;5;2;7;5;30;23;8;7;7;9;23;14;16;3;5;5;3;11;1;8;6;3;1;5;10;16;1;6;26;4;3;3;12;6;30;1;3;11;3;16;1;14;11;11;8;12;6;7;13;14;8;6;1;2;6;3;1;1;36;20;7;15;1;2;6;5;5;24;9;4;1;5;2;5;1;12;2;2;7;13;26;5;18;17;12;16;9;
2;8;4;5;12;11;13;2;19;12;20;46;8;3;4;11;23;2;1;5;19;3;3;25;1;10;1;4;20;18;40;4;6;14;2;19;5;11;16;3;1;19;28;5;3;4;9;3;13;3;9;3;13;1;9;1;1;3;9;8;38;10;12;2;23;3;2;3;55;7;23;12;18;14;2;3;4;4;7;2;1;14;11;22;17;2;17;3;1;11;25;10;5;8;1;6;21;10;1;1;2;4;7;7;
3;13;17;4;3;5;1;32;11;25;5;10;10;2;5;6;2;5;4;13;1;43;25;10;20;4;5;5;22;2;1;8;5;9;4;27;19;16;4;13;13;22;2;14;9;4;5;5;1;2;5;13;5;21;17;5;8;3;4;5;9;4;2;3;1;1;8;8;10;4;3;6;2;1;11;9;5;3;13;3;20;19;25;17;15;9;1;10;3;30;12;12;12;6;1;5;3;4;5;3;23;2;12;4;9;1;1;1;27;4;6;6;8;
4;10;17;5;10;6;4;5;11;1;33;4;11;3;8;3;10;6;1;40;5;4;6;16;13;7;1;9;9;10;16;6;19;4;1;7;7;23;9;3;18;9;5;3;43;6;1;4;16;18;14;4;4;6;38;19;6;3;1;13;4;1;1;2;1;3;6;2;15;14;16;1;17;10;6;10;3;7;2;8;2;6;33;33;2;4;6;12;26;2;13;23;5;6;1;4;2;23;3;2;3;1;24;1;20;6;8;2;9;8;21;2;2;4;
5;7;18;15;6;20;47;6;11;2;4;1;3;10;5;9;10;2;6;1;1;9;45;19;7;4;2;17;3;16;4;6;15;2;6;5;4;20;1;2;11;10;3;15;8;21;3;4;4;8;18;26;7;44;4;13;6;8;4;3;4;9;7;6;3;10;11;16;21;24;21;19;2;10;19;37;12;4;11;2;39;3;9;1;9;9;4;1;3;15;11;9;7;7;19;3;1;6;4;3;4;12;
6;7;12;36;14;2;16;5;18;3;5;22;24;2;1;15;1;9;1;12;4;11;1;11;14;13;2;3;4;2;3;13;28;12;4;7;17;3;7;1;7;2;3;15;5;1;1;2;45;1;5;6;4;5;13;28;26;16;4;12;2;37;3;11;29;1;1;2;26;1;1;3;1;1;3;12;2;1;15;2;12;26;31;11;21;13;7;6;8;3;26;2;18;9;15;5;14;49;32;9;
7;22;16;8;2;3;27;24;9;10;11;9;26;6;20;2;1;9;28;5;12;10;22;3;5;14;3;3;7;22;8;6;2;5;3;8;2;30;7;5;9;7;2;4;11;6;12;29;8;19;9;34;13;1;1;15;7;4;25;7;7;7;4;32;9;12;14;1;6;3;13;1;5;2;12;26;31;2;2;7;2;9;9;2;8;6;7;4;5;2;2;1;5;1;3;10;26;5;6;10;12;3;15;4;39;
8;5;3;2;22;4;25;9;3;56;1;3;2;4;3;12;3;1;3;14;13;9;11;8;11;2;3;14;3;4;20;14;6;4;4;12;7;16;12;8;42;31;3;1;32;17;18;1;10;1;13;8;14;12;18;18;1;7;17;22;3;28;4;7;14;42;1;10;4;1;2;2;29;9;17;5;5;6;9;3;16;20;5;17;7;21;7;32;10;4;15;9;10;16;
9;8;8;7;1;5;3;30;9;7;4;4;14;4;3;4;4;14;3;6;3;1;12;7;20;44;10;5;3;14;16;9;14;3;10;3;4;5;3;8;17;2;24;9;1;24;6;36;1;16;27;3;4;7;3;12;28;18;24;8;1;13;7;22;1;6;3;9;16;3;1;6;4;4;7;4;1;3;13;5;4;4;6;15;13;1;7;3;2;1;8;1;3;5;34;20;13;8;12;6;7;8;21;6;1;5;17;22;2;25;
10;1;10;1;1;2;7;2;3;39;3;2;1;19;5;7;3;1;5;19;18;20;5;25;5;5;14;25;10;28;6;8;36;1;2;3;27;12;12;11;4;8;10;5;6;2;18;22;3;17;14;5;12;1;6;13;32;2;3;12;11;5;8;18;3;6;3;2;2;9;11;12;5;12;14;38;4;7;23;2;25;4;13;25;18;33;2;10;4;13;22;6;1;8;6;3;3;4;2;5;13;11;14;1;
