value
37.2546451949681
118.48272316822
322.307558619497
833.763259447734
2117.15413441416
5337.55452349936
13418.474271578
33695.848537278
84577.6689153408
212254.931812479
532634.260613637
1336559.03150862
3353839.73334716
8415782.81227453
21117667.9346316
52990386.2062369
132968291.866323
333656081.946409
837240024.971922
2100878373.73207
5271713938.63088
13228261149.6997
33193548603.5091
83292252543.6689
209004448888.975
524452855076.038
1316004509241.96
3302237468178.67
8286272744213.32
20792664565470.6
52174833375329.2
130921807985266
328520834610539
824354173182102
2.06854400466976E+15
5.19057759207819E+15
1.30246664700205E+16
3.2682670405348E+16
8.20103107655952E+16
2.05787684679797E+17
5.16381059534256E+17
1.29575003023443E+18
3.25141309862693E+18
8.15873964209755E+18
2.04726469779077E+19
5.13718163182222E+19
1.28906805000888E+20
3.23464606986119E+20
8.11666629794791E+20
2.03670727397605E+21
5.11068998970146E+21
1.28242052771015E+22
3.21796550604012E+22
8.07480991945296E+22
2.02620429314456E+23
5.08433496083531E+23
1.27580728564412E+24
3.2013709612775E+24
8.03316938775476E+24
2.01575547454235E+25
5.05811584073059E+25
1.26922814703298E+26
3.18486199198652E+26
7.99174358976514E+26
2.00536053886327E+27
5.03203192852707E+27
1.26268293601056E+28
3.16843815686785E+28
7.95053141813596E+28
1.99501920824152E+29
5.00608252697876E+29
1.25617147761758E+30
3.15209901689788E+30
7.9095317712295E+30
1.9847312062442E+31
4.98026694243525E+31
1.24969359779702E+32
3.13584413531698E+32
7.86874355308899E+32
1.97449625786394E+33
4.95458448482317E+33
1.24324912338943E+34
3.11967307761781E+34
7.82816567340937E+34
1.96431408951153E+35
4.92903446762776E+35
1.23683788212831E+36
3.10358541153373E+36
7.78779704750808E+36
1.95418442900863E+37
4.90361620787451E+37
1.23045970263554E+38
3.08758070702723E+38
7.74763659629614E+38
1.94410700558047E+39
4.8783290261109E+39
1.22411441441674E+40
3.07165853627842E+40
7.70768324624923E+40
1.93408154984862E+41
